-811, -16892, -4147,
91.65, 159.04, 96.38,
503, -16805, -4684,
91.49, 158.53, 97.32,
-142, -15491, -4468,
91.43, 158.13, 98.09,
-526, -16795, -1850,
91.32, 157.70, 98.34,
-1566, -15954, -3186,
91.44, 157.60, 98.76,
217, -17430, -3267,
91.59, 158.74, 99.35,
-194, -16645, -1713,
91.34, 158.99, 99.74,
-570, -15686, -2337,
91.23, 159.15, 100.09,
-801, -11081, -2265,
91.29, 156.67, 100.26,
-3640, -13745, -2234,
91.77, 155.43, 100.41,
658, -14910, -5430,
91.77, 149.60, 102.62,
923, -15583, -3408,
91.60, 155.28, 100.72,
-705, -19231, -5105,
91.83, 156.55, 101.21,
-928, -20325, -4168,
92.00, 157.87, 101.34,
-1028, -20776, -5013,
92.19, 159.92, 101.68,
-2069, -24097, -8283,
92.47, 163.48, 102.25,
-992, -15676, -8042,
92.55, 163.13, 102.93,
-337, -15889, -5520,
92.48, 162.16, 103.24,
-1509, -12622, -3696,
92.60, 160.23, 103.17,
-1639, -13271, -3952,
92.75, 158.87, 103.27,
-178, -14415, -2396,
92.59, 158.13, 103.02,
-3024, -17776, -6281,
92.95, 158.52, 103.38,
675, -15103, -1325,
92.92, 157.78, 102.82,
-2430, -16602, -3083,
93.29, 158.26, 102.59,
-2019, -16122, -3463,
93.53, 157.96, 102.86,
-149, -10413, -1553,
93.30, 155.68, 102.58,
-495, -16339, -1860,
93.42, 155.26, 102.35,
108, -14899, -2777,
93.37, 154.59, 102.53,
-303, -17226, -6002,
93.33, 155.18, 103.14,
-183, -18651, -5728,
93.23, 158.28, 103.71,
-770, -17640, -5547,
92.76, 160.06, 104.27,
-1372, -20934, -5124,
92.76, 154.14, 107.21,
-706, -21080, -7051,
93.03, 162.85, 104.88,
-1600, -16760, -6880,
93.17, 161.55, 105.17,
308, -17322, -7132,
92.97, 160.07, 105.67,
21, -14464, -5767,
92.80, 157.26, 105.80,
784, -12258, -2473,
92.34, 152.72, 104.82,
-1498, -12043, -2881,
92.42, 151.47, 103.96,
-2210, -16307, -3873,
92.72, 151.61, 103.68,
-3521, -15774, -3915,
93.05, 152.70, 103.72,
-2550, -16210, -3208,
93.20, 153.76, 103.60,
-247, -15324, -1078,
93.21, 154.09, 103.38,
126, -11302, -1386,
92.70, 151.79, 102.56,
-768, -13923, -4050,
92.93, 151.39, 103.02,
-900, -16303, -5644,
92.68, 151.29, 103.44,
61, -16853, -5727,
92.35, 151.53, 103.82,
-714, -18229, -4681,
92.44, 154.31, 104.34,
-1523, -19144, -4510,
92.61, 155.38, 104.79,
-1201, -21046, -5230,
92.82, 157.89, 105.20,
-1357, -21157, -5586,
92.99, 159.65, 105.13,
-311, -16794, -5477,
93.01, 158.80, 105.08,
-822, -16598, -6519,
93.02, 158.34, 105.25,
-1568, -13659, -6096,
93.02, 150.96, 106.36,
-885, -12802, -4152,
93.05, 154.96, 104.76,
683, -11446, -2633,
92.68, 153.00, 104.05,
-2815, -16459, -4122,
93.18, 152.69, 103.55,
-1226, -16575, -854,
93.38, 153.44, 102.73,
-3237, -15726, -2794,
94.04, 154.73, 102.79,
-2521, -15977, -2348,
94.20, 156.27, 102.70,
-1253, -11971, -3675,
94.05, 154.58, 102.67,
-1193, -13886, -1444,
93.67, 153.87, 102.26,
981, -15668, -4780,
93.10, 153.68, 102.52,
-581, -15967, -5028,
93.15, 153.91, 103.17,
940, -19551, -7176,
93.02, 157.14, 104.14,
205, -18356, -5996,
92.86, 159.06, 104.46,
-1031, -19392, -5843,
92.88, 160.51, 104.50,
-1244, -23068, -6406,
93.09, 163.79, 104.61,
-179, -17333, -7031,
93.01, 163.28, 105.00,
-11, -17574, -5989,
92.76, 162.42, 105.25,
-347, -17777, -5761,
92.62, 160.74, 105.34,
172, -12668, -3824,
92.38, 156.93, 105.04,
-1338, -10939, -2256,
92.54, 154.62, 104.50,
-1802, -15276, -2938,
92.70, 154.13, 103.91,
-1862, -16356, -2748,
92.70, 150.33, 105.95,
-2205, -16371, -2099,
92.92, 155.49, 103.56,
-2255, -13850, -2973,
93.39, 156.44, 103.62,
-2247, -12201, -2300,
93.30, 154.77, 103.32,
660, -15311, -3319,
92.99, 154.30, 103.73,
36, -15828, -3099,
92.46, 154.33, 103.78,
240, -17540, -4873,
92.02, 154.92, 104.20,
855, -18454, -5531,
91.68, 157.53, 104.51,
-292, -19125, -5486,
91.53, 159.86, 105.19,
184, -19590, -5851,
91.66, 161.80, 105.37,
680, -20060, -6439,
91.45, 164.05, 105.60,
541, -17078, -6011,
91.52, 162.66, 105.41,
419, -15918, -6990,
91.48, 161.38, 105.58,
2, -13674, -6053,
91.32, 158.67, 105.61,
279, -14459, -5567,
91.07, 155.12, 105.47,
-249, -11601, -6182,
91.08, 152.99, 105.33,
-440, -12760, -8561,
91.15, 151.33, 105.76,
-995, -13617, -10658,
91.26, 149.95, 106.58,
-327, -13250, -9823,
91.34, 150.14, 107.60,
232, -12648, -9961,
91.08, 150.70, 108.91,
