-2567, -17556, -1404,
88.86, 149.94, 106.20,
-1712, -18308, -1376,
89.10, 151.53, 106.09,
-4980, -13944, -2061,
89.54, 149.76, 106.38,
-4478, -15447, -1255,
90.42, 147.83, 105.27,
-1231, -15586, -790,
90.65, 147.53, 104.52,
-2804, -15588, -556,
91.26, 147.36, 103.43,
-1434, -16367, -981,
91.26, 143.71, 105.35,
-481, -13119, 137,
91.33, 147.04, 102.59,
-313, -11608, 1597,
91.64, 146.37, 101.71,
37, -14900, -575,
91.81, 147.17, 101.43,
-1741, -17012, -2419,
91.87, 148.30, 101.72,
-6057, -15612, -5764,
92.58, 147.97, 102.44,
-3602, -20144, -2719,
92.97, 149.29, 102.69,
-1492, -20225, -4944,
93.07, 151.59, 103.31,
-2232, -23977, -5658,
93.78, 154.60, 103.05,
-2352, -17575, -6183,
94.55, 154.60, 102.78,
-1449, -17683, -6464,
94.96, 155.58, 102.44,
-1895, -13757, -3588,
95.67, 155.81, 101.57,
-1378, -12539, -2268,
96.18, 155.43, 100.45,
-486, -12269, -1677,
96.48, 154.94, 99.28,
-3418, -16092, 597,
97.25, 155.86, 97.69,
-3197, -16679, -1296,
97.35, 155.52, 97.67,
-3187, -16185, -753,
97.59, 154.70, 97.57,
-2459, -15450, -689,
97.18, 155.28, 97.35,
-2828, -10956, 676,
96.91, 153.59, 97.03,
-269, -14682, -654,
96.75, 153.27, 97.01,
-1788, -17888, -1826,
96.59, 154.11, 97.22,
-1435, -20094, -2263,
96.59, 150.06, 100.53,
-260, -20621, -1200,
96.55, 157.04, 97.44,
-139, -22489, -2191,
96.52, 162.09, 98.06,
-1287, -21456, -2436,
96.74, 165.95, 98.36,
-1247, -20153, -2923,
96.66, 168.22, 98.44,
-950, -18391, -4441,
95.82, 170.68, 98.23,
-548, -16818, -4893,
95.33, 167.80, 98.58,
-1903, -12766, -1979,
95.39, 163.00, 98.10,
-2383, -13200, -364,
95.42, 157.80, 97.23,
-2773, -14834, -475,
95.49, 156.65, 96.30,
-2888, -16908, -304,
95.72, 156.34, 95.30,
-3787, -15845, -631,
96.03, 157.20, 94.82,
-3331, -15164, -685,
96.35, 158.32, 94.56,
-2950, -11167, -352,
96.75, 157.84, 94.35,
-2468, -14828, -2576,
96.59, 157.31, 94.86,
-510, -14658, -1806,
96.16, 156.47, 94.94,
-1388, -16905, -3018,
95.86, 156.77, 95.31,
-1331, -18381, -3467,
95.68, 158.00, 95.76,
-2272, -18848, -4144,
95.59, 161.71, 96.55,
-1663, -21636, -3511,
95.82, 165.73, 97.02,
-2056, -21716, -4100,
95.86, 168.51, 97.39,
-2391, -18109, -2791,
95.86, 158.19, 100.16,
-1513, -18101, -4900,
96.06, 166.61, 97.99,
-2414, -15586, -3339,
96.44, 162.42, 98.18,
-2953, -14392, -573,
96.71, 158.96, 97.87,
-1753, -11579, -2234,
96.79, 155.39, 97.76,
-1026, -13807, -922,
96.80, 153.66, 97.19,
-3702, -13987, -1183,
97.32, 152.65, 96.58,
-4543, -15665, -729,
97.75, 153.68, 96.38,
-3966, -16122, -1136,
98.01, 154.77, 96.50,
-3466, -14015, -526,
98.12, 154.46, 96.51,
-2502, -10162, -459,
98.06, 152.04, 96.54,
1270, -15537, -4304,
97.23, 151.93, 97.14,
-1400, -16757, -4962,
96.92, 152.48, 97.83,
-2254, -19313, -4388,
96.80, 155.49, 98.50,
-2117, -18795, -3476,
96.74, 157.09, 98.64,
-3170, -21122, -2933,
97.18, 159.95, 98.83,
-2727, -21696, -4074,
97.40, 162.35, 99.00,
-2978, -17610, -4067,
97.67, 161.94, 99.10,
-2549, -17211, -5487,
97.71, 161.10, 99.32,
-2163, -14938, -4464,
97.79, 158.00, 99.48,
-1167, -13690, -3511,
97.65, 154.76, 99.38,
-3200, -14092, -3239,
97.65, 149.59, 100.89,
-3940, -13280, -2888,
98.04, 152.98, 99.05,
-5637, -14214, -1217,
98.57, 152.50, 98.70,
-5153, -16349, -1308,
98.93, 153.19, 98.82,
-3423, -16691, -756,
99.21, 155.09, 98.58,
-2945, -14261, -709,
99.52, 155.27, 98.54,
-2148, -12642, -1107,
99.27, 154.75, 98.53,
-471, -14358, -3324,
98.60, 154.26, 98.96,
-1525, -15832, -1564,
98.20, 154.15, 99.03,
-1836, -18441, -5452,
97.93, 155.85, 99.84,
-3103, -18066, -3773,
98.03, 159.19, 100.38,
-3443, -22778, -4487,
98.80, 162.79, 100.41,
-2703, -18948, -3277,
99.02, 164.04, 100.13,
-1675, -17730, -5827,
98.92, 163.13, 100.37,
-2338, -17125, -7249,
98.96, 162.22, 100.99,
-2481, -16296, -6421,
98.84, 159.82, 101.57,
-75, -12996, -4184,
98.41, 156.07, 101.59,
-2108, -12291, -3899,
98.27, 154.03, 101.56,
26, -11612, -1991,
97.85, 152.03, 100.98,
-2062, -12010, -2865,
97.83, 151.03, 100.72,
-2468, -14589, -1950,
98.04, 151.34, 100.46,
-649, -16701, -7956,
98.04, 147.33, 102.74,
379, -14981, -9775,
97.34, 151.91, 101.60,
1548, -14923, -8847,
96.17, 152.16, 102.86,
1750, -14397, -7817,
95.04, 151.49, 103.94,
1174, -14095, -8019,
94.30, 150.62, 105.16,
810, -14097, -8140,
93.69, 150.57, 106
