-610, -16245, -3728,
90.80, 158.14, 101.39,
-876, -17794, -3529,
91.10, 159.44, 101.57,
372, -16307, -3439,
90.88, 159.04, 101.63,
-671, -16380, -2168,
91.04, 159.15, 101.32,
811, -16734, -28,
90.91, 159.30, 100.33,
-406, -14051, -219,
90.91, 147.70, 103.83,
705, -24019, -3107,
90.52, 168.16, 100.21,
617, -32760, 57,
90.39, nan, 98.99,
2983, -6657, -795,
89.17, nan, 97.97,
-1010, -6278, -1536,
89.39, 163.16, 97.19,
7382, -32760, 5126,
86.86, nan, 94.26,
7284, -32760, 7737,
84.29, nan, 90.54,
-1248, 589, 1004,
84.41, nan, 89.08,
-1992, -5231, 3134,
85.18, 167.87, 86.95,
6786, -30989, -1762,
82.75, nan, 86.82,
4404, -21866, 3281,
81.58, nan, 85.74,
975, -14291, 1853,
81.58, 161.44, 89.37,
221, -17474, 730,
81.74, nan, 84.49,
539, -10753, -696,
81.76, 158.11, 84.74,
531, -22273, -2197,
82.56, nan, 85.20,
-995, -28306, 1542,
82.56, nan, 84.19,
753, -4390, -3387,
84.72, 168.61, 86.96,
-2633, -2820, 1654,
87.94, 144.20, 88.93,
12125, -32760, 10428,
83.59, 178.30, 85.88,
7816, -32760, 9250,
80.39, nan, 83.89,
-125, 7929, 2046,
82.65, 159.26, 82.65,
-1748, -2146, 1113,
84.65, 145.46, 83.35,
-2162, -25166, 4706,
84.65, 137.49, 91.75,
742, -12043, 1261,
84.49, 142.47, 83.18,
1000, -18331, 1797,
84.34, 146.71, 82.37,
260, -15733, 1602,
84.42, 143.03, 81.12,
1540, -11300, -812,
83.60, 134.65, 81.89,
-694, -26971, -3011,
84.07, 146.14, 81.77,
-757, -21237, -1444,
83.46, 159.15, 82.78,
1027, -1221, 2947,
87.06, 139.14, 85.22,
1174, -9029, 1727,
89.22, 128.47, 87.66,
7261, -31845, 10968,
86.82, 147.88, 84.76,
-450, -17023, 1745,
86.40, 158.59, 84.56,
-1011, -2755, -869,
86.40, 150.30, 85.86,
210, -4480, 1370,
86.57, 152.66, 84.52,
2512, -23740, 3107,
86.08, 156.76, 84.10,
76, -15023, 1346,
86.14, 156.18, 84.18,
731, -17428, 994,
86.41, 161.71, 83.59,
833, -16022, 12,
85.91, 152.57, 82.61,
596, -13509, -1953,
85.47, 147.55, 82.77,
1261, -20488, -4579,
85.40, 162.32, 85.22,
-405, -28391, 76,
85.91, nan, 85.76,
399, -5725, -3426,
88.13, 156.15, 90.42,
-1100, -5011, 1391,
88.34, 147.86, 90.54,
6571, -30814, 4148,
88.34, 141.65, 101.03,
2294, -32760, 8778,
87.67, nan, 88.14,
-3362, 4306, 295,
89.57, 148.00, 89.05,
-845, -2347, 1274,
89.87, 140.93, 89.07,
309, -24300, 4982,
90.01, 144.61, 87.78,
1393, -12245, 430,
89.83, 142.55, 87.65,
1951, -16174, 341,
89.39, 143.99, 86.90,
940, -16729, 756,
89.49, 141.97, 85.17,
570, -17844, 484,
89.17, 136.73, 85.04,
672, -17635, 410,
89.09, 142.69, 83.79,
1909, -9280, 123,
88.11, 145.04, 84.20,
3285, -32760, 964,
88.11, 128.01, 97.69,
1024, -53, -494,
88.52, 129.40, 87.21,
3283, -349, 1522,
86.37, 131.38, 86.82,
831, -4735, 549,
85.82, 132.41, 87.05,
5823, -32760, 11803,
84.03, 136.24, 84.84,
-5417, -12265, 651,
86.25, 136.25, 84.76,
3191, -4079, -450,
85.84, 130.85, 85.02,
-1114, -25294, 3679,
86.51, 134.63, 84.07,
1041, -24609, 602,
86.36, 137.79, 84.03,
1195, -12997, -832,
86.19, 135.60, 84.44,
1730, -13499, -1502,
86.25, 137.59, 84.97,
4043, -14181, -3345,
86.25, 135.66, 89.40,
6454, -14520, -4867,
84.48, 145.09, 86.39,
7868, -12790, -7192,
82.99, 152.92, 89.21,
8981, -12742, -7467,
80.32, 159.33, 91.81,
8592, -12146, -7316,
79.41, 145.00, 98.02,
