-905, -16337, -2489,
94.54, 161.22, 94.72,
-690, -16903, -2433,
94.36, 161.15, 95.20,
-880, -16722, -1976,
94.28, 161.10, 95.52,
-525, -16125, -1085,
94.10, 160.41, 95.55,
560, -17252, 224,
93.54, 160.79, 95.10,
59, -17311, 1195,
93.54, 148.11, 100.37,
600, -13645, 507,
92.92, 157.90, 94.55,
1457, -8187, 471,
91.94, 151.54, 93.93,
-2894, -32760, -173,
92.25, 165.63, 93.43,
-75, -7481, -2989,
91.65, 156.37, 93.84,
-1709, 690, -1485,
91.64, 144.88, 93.70,
-645, -29385, 4246,
91.55, 153.08, 91.52,
-4655, -32591, 2795,
92.84, 168.61, 89.83,
-2636, 5070, 673,
93.41, 149.00, 88.97,
-3770, -9783, 720,
94.46, 145.22, 88.38,
-6527, -28688, 4869,
96.77, 152.37, 86.88,
-1936, -22038, 2707,
96.77, 145.06, 94.18,
-523, -3853, -685,
97.13, 146.16, 87.27,
-323, -16582, 2455,
97.72, 151.41, 86.62,
-170, -32760, 751,
96.83, 151.41, 86.32,
302, 4585, 3370,
96.70, 144.08, 84.26,
643, 2161, -812,
95.94, 143.28, 84.04,
2449, -32663, 3849,
94.93, 145.09, 84.17,
2598, -31442, 2549,
92.58, 144.45, 84.25,
2990, 3877, -1284,
90.75, 145.12, 84.88,
-1811, -7145, 1952,
90.12, 143.65, 84.48,
-1833, -24564, 4988,
88.60, 141.45, 84.44,
-2114, -20111, 2154,
88.60, 140.56, 90.74,
-510, -10068, -545,
88.60, 144.81, 84.40,
1145, -11282, 2167,
88.12, 141.93, 84.49,
-5964, -32760, 3000,
90.00, 141.93, 83.76,
-1900, 7866, 4156,
90.71, 140.24, 83.50,
-950, 67, -5154,
91.23, 141.31, 84.92,
711, -11490, 6373,
91.79, 131.37, 84.10,
3452, -32760, 10452,
91.51, 131.94, 81.52,
915, 3206, 2464,
92.18, 132.23, 80.29,
108, -3785, 1151,
91.56, 130.78, 80.55,
-6427, -32120, 6095,
93.05, 134.10, 80.19,
296, -14825, 1320,
93.05, 129.59, 84.85,
-344, -17063, 970,
93.00, 137.34, 79.69,
548, -12068, -1437,
93.19, 137.72, 80.87,
1589, -8501, 1002,
90.74, 127.07, 81.53,
-1077, -32760, 4049,
90.48, 146.34, 81.56,
339, -3024, -1163,
90.06, 148.19, 80.25,
-4374, -2330, 2120,
91.71, 142.94, 81.65,
3636, -32734, 6649,
91.65, 142.93, 82.89,
-644, -32760, 3815,
92.15, nan, 82.45,
-1576, 9399, 573,
92.70, 157.92, 82.64,
-931, -7413, 1748,
90.92, 141.91, 84.06,
383, -31577, 2378,
90.92, 133.50, 94.61,
825, -28054, 2766,
90.54, 148.12, 83.47,
1094, -13638, 903,
90.36, 149.09, 82.71,
481, -15404, 849,
90.72, 153.77, 82.76,
991, -9207, -444,
90.05, 139.81, 84.22,
-1211, -31768, 255,
90.55, 157.87, 83.76,
2335, -17064, -485,
88.38, nan, 84.61,
1792, -2594, 638,
88.98, 147.06, 86.56,
-2467, -2422, 1383,
89.57, 131.90, 87.35,
1677, -29405, 7924,
88.51, 152.51, 84.96,
4950, -32760, 5146,
86.61, nan, 83.86,
526, 10478, 1081,
86.61, 150.33, 81.34,
3454, -14314, 706,
85.76, 162.31, 84.53,
3659, -19520, -1014,
84.92, 170.39, 85.15,
1619, -17860, -139,
84.55, 179.02, 85.47,
1933, -13295, -1805,
84.25, nan, 85.91,
3282, -13975, -2817,
82.78, 157.28, 86.91,
4914, -14622, -5646,
81.94, 155.31, 88.58,
5644, -14773, -6395,
80.68, 167.80, 90.86,
6877, -13488, -6851,
77.60, nan, 93.53,
7141, -13034, -7252,
75.78, 161.34, 98.47,
