-16, -17359, -3143,
89.97, 159.37, 100.26,
224, -16722, -2018,
90.06, 159.11, 100.29,
-273, -16325, -1282,
90.26, 158.73, 99.67,
-957, -15959, 1132,
90.74, 158.60, 98.17,
-1352, -16505, 1433,
91.25, 158.60, 96.50,
-464, -14539, 1079,
91.42, 157.09, 95.06,
-3112, -17756, 1656,
92.34, 158.37, 93.43,
1638, -32760, 3650,
92.34, 145.83, 103.11,
-180, 4222, -1589,
92.32, 144.37, 92.90,
2647, 4311, -1184,
91.28, 134.10, 92.29,
4515, -30354, 5649,
89.67, 140.73, 89.44,
3391, -29611, 3047,
88.56, 147.51, 87.43,
1014, 1841, 783,
88.31, 137.61, 86.53,
10029, -32497, -2488,
84.96, 146.09, 86.92,
-615, -22296, 3853,
84.85, 149.97, 86.03,
371, -14333, 1248,
84.29, 148.59, 86.09,
1823, -17978, 1925,
83.55, 150.80, 85.82,
854, -15444, 911,
82.25, 149.30, 86.06,
1337, -10784, -13,
82.25, 151.18, 89.04,
433, -32698, 1612,
82.05, nan, 85.02,
2729, -14293, -2116,
82.03, nan, 85.32,
960, -4173, 1302,
83.19, nan, 86.74,
-97, 1081, -84,
84.32, 148.45, 87.75,
5747, -32760, 4825,
82.78, nan, 86.44,
5811, -32760, 6181,
84.16, nan, 83.62,
3299, 3718, 642,
82.88, 154.45, 84.67,
398, -14485, 6470,
82.87, 154.57, 82.97,
8386, -21277, -809,
80.72, 157.18, 83.86,
2488, -12576, 2318,
80.19, 154.89, 83.40,
1595, -16504, 551,
80.19, 135.37, 89.28,
1327, -16291, 664,
79.89, 144.37, 83.71,
714, -16311, 89,
80.56, 145.51, 82.99,
3433, -10464, 106,
79.74, 149.29, 83.38,
3887, -32760, 2236,
78.43, nan, 82.62,
-686, -6696, -3065,
80.55, 154.65, 85.19,
-1236, -3935, 1235,
82.85, 137.80, 86.80,
6497, -32760, 8076,
81.81, 161.26, 84.38,
3655, -32281, 8796,
80.74, nan, 83.63,
5977, -31740, 7646,
81.53, nan, 80.86,
3686, 3076, -394,
81.14, nan, 81.75,
5282, -28319, 1243,
81.14, 153.67, 91.16,
-1830, -18358, 1160,
82.17, nan, 81.59,
307, -14878, 1006,
82.31, nan, 81.29,
1062, -16437, 606,
83.08, nan, 81.12,
274, -16262, 736,
84.26, 164.22, 81.62,
2647, -13126, -1223,
83.17, 177.02, 81.01,
2927, -10860, -273,
81.81, nan, 81.51,
-1853, -32760, -1381,
84.53, nan, 84.59,
479, -11343, -2826,
85.57, 156.85, 88.36,
1656, -5457, 1298,
86.97, 140.44, 90.42,
7473, -32760, 5723,
85.74, 166.77, 88.44,
7047, -30709, 9936,
85.74, 146.08, 98.79,
235, -8964, 1848,
85.07, 156.98, 88.21,
1347, -6030, 4270,
84.73, 150.50, 87.16,
3235, -21828, -113,
84.02, 154.27, 87.39,
2463, -17755, 634,
83.31, 155.40, 87.42,
436, -16320, 2635,
84.03, 158.02, 86.17,
1131, -16090, 1755,
84.62, 163.11, 85.51,
1324, -16779, 1397,
83.58, 150.06, 84.61,
120, -17054, 728,
83.70, 154.00, 83.45,
2392, -10325, 31,
83.46, 157.87, 83.87,
1192, -32760, 1563,
85.50, 157.87, 85.22,
3717, -16769, -2420,
85.50, 148.72, 91.25,
1863, -4979, 1953,
84.97, 154.66, 85.18,
2560, 2448, -1268,
84.58, 148.86, 86.98,
2518, -27626, 4401,
84.81, 152.71, 85.52,
5177, -32760, 9072,
83.93, 166.77, 82.77,
-2871, 6704, -420,
85.00, 147.49, 83.77,
8, -10391, 1738,
85.37, 144.21, 83.77,
807, -19113, -66,
85.54, 145.52, 84.25,
1891, -16866, 2061,
84.96, 145.41, 83.81,
961, -15554, -108,
85.43, 148.52, 83.86,
1035, -15141, -554,
85.48, 138.87, 84.55,
3100, -16397, -1521,
85.48, 135.04, 90.50,
4073, -15003, -1917,
84.76, 144.09, 85.81,
6012, -15160, -3538,
83.64, 155.42, 86.54,
6896, -14896, -3734,
82.21, 146.87, 89.18,
6783, -14930, -3505,
81.68, 137.45, 93.25,
6623, -14786, -3348,
78.56, 149.11, 94.20,
6461, -14695, -2860,
76.42, 151.94, 95.70,
6103, -14874, -2741,
74.65, 149.15, 96.57,
5765, -15293, -3341,
73.35, 148.17, 98.33,
5801, -15103, -2537,
71.70, 147.89, 99.13,
6159, -15322, -2668,
69.95, 148.01, 99.82,
6217, -15432, -2705,
69.95, 136.73, 104.30,
6187, -14965, -2499,
69.21, 147.98, 100.
