85, -16239, -2843,
93.71, 159.85, 98.66,
-450, -17247, -2986,
93.37, 160.13, 98.91,
435, -16294, -1849,
92.84, 159.70, 98.62,
232, -16100, -1941,
92.32, 159.28, 98.40,
128, -16935, -1044,
91.82, 159.64, 97.80,
-1312, -17366, -1248,
91.86, 160.53, 97.35,
-1364, -15953, -1239,
91.95, 159.82, 96.88,
482, -15310, -1771,
91.44, 158.68, 96.63,
471, -11910, -1519,
91.03, 154.79, 96.19,
247, -14101, -2476,
90.65, 152.86, 96.14,
596, -17770, -4202,
90.65, 142.63, 101.03,
-516, -17494, -3760,
90.53, 153.76, 96.44,
972, -18340, -3735,
90.07, 154.57, 96.68,
307, -18853, -4024,
90.11, 156.58, 97.39,
142, -19180, -3436,
90.14, 159.23, 97.88,
729, -22777, -4363,
89.95, 165.47, 98.96,
2474, -16425, -5412,
88.72, 164.31, 100.33,
2137, -17224, -6524,
87.59, 165.91, 102.08,
1132, -15038, -5636,
87.38, 165.55, 103.36,
588, -11352, -2692,
87.34, 164.84, 103.75,
307, -13450, -1647,
87.32, 164.06, 103.47,
-732, -15499, -131,
87.32, 150.09, 107.42,
-599, -16922, -59,
87.35, 163.39, 102.25,
-6, -18481, 445,
87.66, 163.56, 100.86,
355, -16487, -383,
87.65, 161.04, 99.67,
247, -13924, -789,
87.61, 156.35, 98.80,
771, -13974, -634,
87.60, 150.03, 97.58,
-44, -14113, -1803,
88.42, 148.56, 96.40,
547, -16891, -4069,
88.93, 148.36, 95.60,
1467, -16767, -5820,
88.82, 149.44, 95.66,
720, -16772, -5930,
88.78, 153.09, 96.71,
277, -18488, -5596,
88.79, 156.95, 98.00,
847, -18236, -4802,
88.79, 145.06, 104.00,
-11, -16661, -3869,
88.60, 156.74, 99.25,
104, -15984, -3499,
88.56, 154.77, 100.55,
557, -21709, -5319,
88.50, 159.09, 102.18,
1045, -15953, -6024,
88.24, 161.01, 103.92,
1749, -16423, -7010,
87.92, 163.62, 106.06,
1271, -14024, -4855,
87.50, 163.52, 107.09,
-251, -11779, -1927,
87.76, 158.44, 106.36,
-405, -14997, -821,
88.36, 156.93, 104.68,
-1091, -15697, -881,
88.95, 156.06, 103.00,
-1019, -16484, 146,
89.37, 154.51, 101.10,
-524, -16816, 277,
89.37, 144.24, 105.41,
-831, -16733, -142,
89.63, 154.56, 99.87,
-768, -15793, -79,
89.92, 154.42, 98.75,
-600, -13686, -642,
90.29, 148.94, 97.22,
1177, -13327, -2388,
90.25, 147.33, 96.03,
554, -15200, -4395,
90.64, 146.60, 95.18,
1077, -16096, -6475,
90.70, 147.84, 95.71,
1621, -16637, -6369,
90.09, 150.93, 97.16,
1706, -17177, -6022,
89.41, 152.42, 98.86,
1688, -20061, -5632,
88.51, 155.65, 100.42,
808, -16829, -4151,
87.92, 155.92, 101.84,
1005, -13660, -2825,
87.92, 144.36, 106.35,
1741, -25980, -4408,
87.08, 164.84, 103.25,
2086, -24076, -5375,
86.16, nan, 105.02,
470, -15846, -3887,
85.81, nan, 106.11,
1945, -17061, -4838,
85.56, nan, 106.94,
-488, -13169, -1775,
85.90, nan, 106.05,
387, -12880, -901,
86.12, nan, 104.18,
927, -15127, 5,
86.35, nan, 102.06,
-732, -17101, 396,
87.14, nan, 99.95,
-335, -16728, -82,
87.79, 171.07, 98.13,
-1151, -17141, 172,
88.43, 171.75, 96.72,
-56, -16645, -36,
88.43, 147.47, 100.73,
-136, -14895, -282,
89.04, 157.97, 95.37,
13, -15229, -2256,
89.71, 151.28, 94.36,
1251, -14234, -3442,
89.46, 150.21, 94.21,
803, -15152, -6072,
89.83, 148.99, 94.62,
2126, -15076, -7504,
88.98, 150.21, 96.48,
1374, -16832, -6613,
88.66, 152.90, 98.34,
663, -16493, -6290,
88.74, 153.89, 100.41,
1494, -19168, -5368,
88.02, 155.45, 102.31,
1407, -21150, -5223,
87.46, 159.17, 104.02,
1004, -16378, -5837,
86.76, 158.48, 106.04,
1773, -16838, -6989,
86.76, 146.73, 111.71,
1468, -16630, -5785,
86.24, 160.07, 107.90,
1363, -12554, -2835,
85.80, 157.67, 108.10,
421, -12751, -2089,
86.07, 156.43, 107.64,
-538, -15077, -506,
86.51, 156.37, 105.76,
-285, -15827, 101,
87.29, 156.99, 103.21,
-791, -17579, 564,
87.99, 157.62, 100.84,
-228, -16817, 358,
88.28, 157.89, 98.65,
-63, -14156, -590,
88.78, 153.92, 97.09,
-289, -14306, -634,
89.33, 149.26, 95.60,
-97, -14341, -2388,
89.69, 147.99, 94.47,
565, -16209, -4464,
89.69, 138.66, 97.87,
563, -17034, -5475,
89.98, 148.24, 94.37,
799, -17407, -6568,
90.16, 151.36, 95.59,
646, -17587, -5463,
90.09, 154.82, 96.69,
861, -17467, -5690,
89.64, 156.71, 98.38,
678, -19118, -5770,
89.33, 159.57, 100.31,
1042, -16936, -6598,
88.73, 158.98, 102.67,
1490, -15384, -7686,
88.18, 157.73, 105.36,
1973, -15361, -7369,
87.52, 158.78, 107.65,
860, -13362, -5904,
87.14, 157.95, 109.45,
769, -12752, -3796,
86.86, 156.62, 109.93,
619, -14033, -2638,
86.86, 144.90, 112.91,
4314, -15583, -3160,
85.65, 155.46, 109.14,
1872, -15452, -3649,
85.30, 153.98, 108.14,
2301, -16179, -3596,
84.76, 152.96, 107.50,
2051, -16174, -3660,
84.37, 152.05, 106.82,
2721, -15975, -4390,
83.71, 149.95, 106.35,
3388, -15614, -4597,
82.94, 149.11, 105.68,
