1184, -16290, -3544,
86.52, 156.58, 101.67,
683, -16651, -4397,
86.64, 157.26, 101.84,
1706, -16375, -3764,
86.36, 157.36, 101.91,
1137, -16644, -2506,
86.39, 157.87, 101.61,
1010, -16218, 485,
86.41, 157.86, 100.25,
1129, -15911, 867,
86.44, 157.47, 98.80,
632, -16319, -215,
86.57, 157.55, 97.75,
489, -13942, 384,
86.75, 155.54, 96.47,
-1056, -32760, 5456,
86.75, 145.44, 106.10,
1412, -17800, 219,
86.61, 156.66, 95.22,
1241, -5488, 910,
86.56, 148.98, 93.75,
2965, -15038, 7626,
85.98, 148.20, 90.13,
1747, -32193, 14201,
85.63, 159.68, 84.09,
680, 4113, 993,
85.97, 145.28, 82.54,
1518, -2316, 2116,
85.84, 137.82, 81.03,
-227, -21929, 4366,
86.25, 140.65, 79.76,
-1121, -12569, 1373,
86.98, 138.97, 79.59,
-541, -16674, 2586,
87.36, 139.15, 78.67,
261, -16180, 1807,
87.43, 140.27, 78.20,
904, -9842, 53,
87.43, 131.55, 81.51,
-2815, -32760, 1639,
88.80, 148.60, 77.73,
-187, -7081, -4651,
89.26, 149.61, 79.56,
-1508, -5514, 3429,
90.71, 143.98, 80.94,
9592, -32275, 4404,
88.17, 144.02, 84.14,
1469, -32760, 11075,
87.91, nan, 80.85,
-3051, 5703, -236,
89.39, 166.48, 81.62,
1977, -2978, 500,
88.68, 149.91, 82.88,
7571, -32381, -4698,
85.86, 167.73, 84.86,
1293, -18340, 2487,
85.27, 170.60, 84.89,
-610, -16752, 1293,
85.55, 171.82, 85.06,
1015, -16494, 2296,
85.55, 143.03, 90.94,
1716, -13469, -46,
84.08, 151.74, 85.61,
-1057, -27411, -1421,
84.36, 174.68, 84.56,
-226, -21362, -932,
83.94, nan, 85.97,
1438, -1918, 1648,
86.59, 156.02, 86.87,
-1466, -2317, 1262,
87.54, 137.87, 90.05,
3387, -27755, 9423,
85.45, 158.55, 86.92,
3711, -32760, 6411,
84.89, nan, 85.00,
-1809, 7289, 1286,
87.93, 151.03, 83.05,
1004, -11058, 5573,
88.03, 146.48, 82.04,
2016, -21060, 325,
87.18, 149.10, 82.36,
2111, -15348, 2751,
87.18, 140.35, 87.34,
1174, -16912, 2163,
87.35, 151.34, 81.64,
633, -16976, 3167,
86.80, 144.94, 80.13,
1210, -15766, 1330,
86.34, 141.90, 79.39,
2026, -11651, -669,
86.15, 147.34, 80.15,
635, -32760, 4953,
85.47, nan, 78.93,
-1443, 7618, 1872,
87.03, 144.49, 81.42,
488, 848, -777,
88.08, 128.62, 83.76,
840, -30300, 8832,
87.22, 146.78, 81.30,
3734, -32760, 12666,
86.33, 163.57, 78.97,
-3289, -2958, 1846,
88.05, 148.97, 78.46,
-1786, -3656, 1769,
88.05, 140.48, 80.38,
-3736, -29229, 7028,
89.64, 157.89, 76.85,
465, -17297, 3602,
89.70, 158.17, 76.71,
1239, -17041, 1876,
89.69, 159.31, 76.53,
726, -16716, 736,
90.11, 164.61, 76.06,
2838, -9183, -618,
89.40, 146.19, 77.91,
637, -32760, 3573,
88.72, nan, 77.35,
429, -32760, 1495,
88.74, nan, 76.59,
1330, 9524, 1661,
88.58, nan, 78.97,
3958, -1079, -857,
88.51, 147.66, 83.40,
4572, -29794, 7295,
85.96, 175.26, 81.62,
7219, -29960, 4014,
85.96, 142.24, 93.63,
2330, 1911, 862,
83.99, 145.14, 83.63,
1453, -25872, -2352,
83.67, 150.35, 85.57,
3750, -20243, 813,
82.85, 152.52, 85.91,
409, -18282, 1370,
82.95, 153.64, 85.71,
347, -17011, 665,
83.77, 160.09, 85.29,
170, -15981, 22,
83.92, 147.72, 86.44,
35, -17101, 4,
84.05, 139.19, 86.93,
1674, -16395, -1565,
83.93, 154.61, 87.97,
3848, -16541, -3818,
83.97, 172.21, 88.93,
5184, -15517, -3987,
83.77, 155.52, 92.59,
5347, -15265, -4146,
83.77, 152.96, 97.83,
5852, -15017, -4227,
82.62, nan, 94.24,
5805, -14516, -4018,
81.20, 160.32, 94.78,
6394, -14544, -4401,
80.33, 155.42, 96.48,
